form	count	lemma	pos	nl
телесных	1	теле́сный	adj	lichamelijk
телу	1	те́ло	n.n	lichaam
тем	2	той, та	pron	die; zij; (тем) daardoor / aan die
темже	6	те́мже	conj	daarom; derhalve
теплое	1	те́плый	adj	vurig; warm; innig
теплый	1	те́плый	adj	vurig; warm; innig
тече	1	тещи́	v	lopen; snellen; stromen
ти	10	ты	pron	Gij; U; u
тихое	4	ти́хий	adj	stil; rustig; kalm; vredig
тобой	2	ты	pron	Gij; U; u
тобою	1	ты	pron	Gij; U; u
токи	2	ток	n.m	stroom; vloed; straal
тояжде	1	то́йжде	pron	dezelfde; hetzelfde
трепещут	1	трепета́ти	v	beven; sidderen
трикратнаго	1	трикра́тный	adj	drievoudig; driemaal herhaald
труду	1	труд	n.m	arbeid; werk; moeite
тщащься	1	тща́тися	v	zich beijveren; trachten; zich haasten
ты	5	ты	pron	Gij; U; u
тьму	1	тьма	n.f	duisternis
тя	15	ты	pron	Gij; U; u
у	1	у	prep	bij
увеселяющая	1	увеселя́ти	v	verblijden; verheugen; opvrolijken
увеселяющий	1	увеселя́ти	v	verblijden; verheugen; opvrolijken
украшение	2	украше́ние	n.n	sieraad; tooi; versiering; luister
укрепи	1	укрепи́ти	v	sterken; versterken
укрепление	1	укрепле́ние	n.n	versterking; sterkte; steun
укрепляемый	1	укрепля́ти	v	sterken; versterken
ум	1	ум	n.m	geest; verstand; nous
умащающий	1	умаща́ти	v	zalven; verzachten (met olie); bestrijken
умилением	2	умиле́ние	n.n	vertedering; rouwmoedige ontroering; verbrijzeling van het hart
умиленное	1	умиле́нный	adj	rouwmoedig; vertederd; verbrijzeld; ontroerd
умиленною	1	умиле́нный	adj	rouwmoedig; vertederd; verbrijzeld; ontroerd
умоли	1	умоли́ти	v	verbidden; door smeken bewegen; afsmeken
умудри	1	умудри́ти	v	wijs maken; wijsheid schenken
уповаем	1	упова́ти	v	hopen; vertrouwen
упование	6	упова́ние	n.n	hoop; vertrouwen; toeverlaat
усердная	15	усе́рдный	adj	ijverig; vurig; toegewijd; bereidwillig
усердно	2	усе́рдно	adv	vurig; ijverig; met toewijding
устнами	1	уста́, устна́	n.pl	lippen; mond
устрашающая	1	устраша́ти	v	schrik aanjagen; verschrikken
устрашение	1	устраше́ние	n.n	verschrikking; schrik; ontzetting
усты	1	уста́, устна́	n.pl	lippen; mond
усыновившая	1	усынови́ти	v	tot kinderen aannemen; adopteren
утверди	1	утверди́ти	v	bevestigen; grondvesten; versterken
утверждаемии	1	утвержда́ти	v	bevestigen; sterken
утверждение	5	утвержде́ние	n.n	bevestiging; grondvesting; steun; bolwerk
утешение	3	утеше́ние	n.n	vertroosting; troost
утешительнице	1	Уте́шительница	n.f	Troosteres; Vertroosteres
утолити	1	утоли́ти	v	stillen; bedaren; tot bedaren brengen
утробе	3	утро́ба	n.f	schoot; moederschoot
учений	1	уче́ние	n.n	leer; leerstelling
хвалебное	1	хвале́бный	adj	lof-; lovend; prijzend
хвалим	1	хвали́ти	v	loven; prijzen
хвалу	1	хвала́	n.f	lof; lofprijzing
херувим	1	Херуви́м	n.pl	Cherubijnen
ходатаице	1	Хода́таица	n.f	Voorspreekster; Middelares; Pleitbezorgster
ходатайству	1	хода́тайство	n.n	voorspraak; bemiddeling; tussenkomst
ходатайствующая	1	хода́тайствовати	v	voorspreken; bemiddelen; pleiten (voor)
ходят	1	ходи́ти	v	lopen; wandelen
хотящи	1	хоте́ти	v	willen; wensen
хотящу	1	хоте́ти	v	willen; wensen
храму	1	храм	n.m	tempel; kerk(gebouw)
хранилище	1	храни́лище	n.n	bewaarplaats; schatkamer; bolwerk; behoedende bescherming
хранительница	1	Храни́тельница	n.f	Behoedster; Bewaakster; Beschermster; Hoedster
хранительнице	1	Храни́тельница	n.f	Behoedster; Bewaakster; Beschermster; Hoedster
христа	6	Христо́с	n.prop	Christus
христиан	5	христиани́н	n.m	christen; (mv.) christenen
христианскаго	17	христиа́нский	adj	christelijk
христианския	1	христиа́нский	adj	christelijk
христова	1	Христо́в	adj	van Christus; Christus'
христолюбиваго	1	христолюби́вый	adj	Christusminnend; Christuslievend
христолюбивии	1	христолюби́вый	adj	Christusminnend; Christuslievend
христом	1	Христо́с	n.prop	Christus
христу	1	Христо́с	n.prop	Christus
хромии	1	хромы́й	adj/n	kreupel; lam; (mv.) de kreupelen
цареграду	1	Царегра́д	n.prop	Tsargrad; Constantinopel
царице	3	Цари́ца	n.f	Koningin
царицы	1	Цари́ца	n.f	Koningin
царствия	2	Ца́рствие	n.n	Koninkrijk; Rijk
царствующего	1	ца́рствовати	v	heersen; regeren; koning zijn
царствующий	1	ца́рствовати	v	heersen; regeren; koning zijn
царь	1	Царь	n.m	koning; tsaar; Koning (God)
царя	1	Царь	n.m	koning; tsaar; Koning (God)
целомудрия	1	целому́дрие	n.n	kuisheid; ingetogenheid; zuiverheid; gezondheid van geest
цельбоносней	1	цельбоно́сный	adj	genezing brengend; heilzaam; genezend
цельбоносному	1	цельбоно́сный	adj	genezing brengend; heilzaam; genezend
церкве	3	Це́рковь	n.f	Kerk
церковь	1	Це́рковь	n.f	Kerk
человек	1	челове́к	n.m	mens; (mv.) mensen
человеком	1	челове́к	n.m	mens; (mv.) mensen
честнейшая	1	честне́йший	adj.sup	eerbiedwaardiger; hoger in eer; hoogst vereerd
честнейшую	1	честне́йший	adj.sup	eerbiedwaardiger; hoger in eer; hoogst vereerd
честною	1	честны́й	adj	eerbiedwaardig; vereerd; kostbaar; eerwaardig
честную	1	честны́й	adj	eerbiedwaardig; vereerd; kostbaar; eerwaardig
честь	2	честь	n.f	eer
чистая	2	чи́стый	adj	rein; zuiver
чистоте	1	чистота́	n.f	reinheid; zuiverheid
чистоту	1	чистота́	n.f	reinheid; zuiverheid
чистыми	1	чи́стый	adj	rein; zuiver
чтимая	2	чти́ти	v	eren; vereren
чтущих	1	чти́ти	v	eren; vereren
чудес	7	чу́до	n.n	wonder
чудеса	4	чу́до	n.n	wonder
чудесы	2	чу́до	n.n	wonder
чудную	2	чу́дный	adj	wonderbaar; wonderlijk; wonderdadig
чудныя	4	чу́дный	adj	wonderbaar; wonderlijk; wonderdadig
щедрот	2	щедро́ты	n.pl	ontfermingen; barmhartigheden; mededogen; weldaden
щедротами	1	щедро́ты	n.pl	ontfermingen; barmhartigheden; mededogen; weldaden
щит	3	щит	n.m	schild
щите	1	щит	n.m	schild
ю	4	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
юных	1	ю́ный	adj/n	jong; (mv.) de jongeren
явилася	1	яви́ти(ся)	v	openbaren; tonen; (refl.) verschijnen
явися	2	яви́ти(ся)	v	openbaren; tonen; (refl.) verschijnen
явити	1	яви́ти(ся)	v	openbaren; tonen; (refl.) verschijnen
явление	3	явле́ние	n.n	verschijning; openbaring; (van een icoon) het verschijnen, de vinding
явлением	1	явле́ние	n.n	verschijning; openbaring; (van een icoon) het verschijnen, de vinding
явлении	2	явле́ние	n.n	verschijning; openbaring; (van een icoon) het verschijnen, de vinding
явления	1	явле́ние	n.n	verschijning; openbaring; (van een icoon) het verschijnen, de vinding
являющая	1	явля́ти	v	tonen; openbaren; betonen
язвы	1	я́зва	n.f	plaag; pest; wond; slag
язык	1	язы́к	n.m	tong; taal; (elders) volk, heiden
яко	25	я́ко	conj	als; zoals; dat; want; omdat
якоже	1	я́коже	conj	zoals; gelijk
